0;0;0;0;0;0;0;0;0;0;0
0;0.195;0.3618;0.2521;0.1216;3.005e-05;-0.1216;-0.2521;-0.3618;-0.195;0
0;0.4181;1;0.525;0.2341;-3.639e-05;-0.2341;-0.525;-1;-0.4181;0
0;0.4777;1;0.614;0.2896;-5.129e-05;-0.2896;-0.614;-1;-0.4777;0
0;0.4926;1;0.6414;0.3103;-4.383e-05;-0.3104;-0.6415;-1;-0.4925;0
0;0.4926;1;0.6415;0.3103;-6.065e-05;-0.3104;-0.6415;-1;-0.4926;0
0;0.4777;1;0.614;0.2896;-3.681e-05;-0.2896;-0.614;-1;-0.4777;0
0;0.4182;1;0.525;0.234;-4.716e-05;-0.2341;-0.5251;-1;-0.4182;0
0;0.195;0.3618;0.2521;0.1215;-1.8e-05;-0.1215;-0.2521;-0.3617;-0.195;0
0;0;0;0;0;0;0;0;0;0;0
